IP;age;profession;zipcode;version;biat;participant_id;country;email;pre_study_mode;Qualitative/Quantitative Research_magnitude;Qualitative/Quantitative Research_d_score;Qualitative/Quantitative Research_preferred;Man-made Climate Change/Natural Climate Cycles_comment;Man-made Climate Change/Natural Climate Cycles_nonfocal_wishlist;Man-made Climate Change/Natural Climate Cycles_dScoreFit;Man-made Climate Change/Natural Climate Cycles_self_assessment;Man-made Climate Change/Natural Climate Cycles_focal_wishlist;Man-made Climate Change/Natural Climate Cycles_focalBlacksheep;Man-made Climate Change/Natural Climate Cycles_nonfocal_blacksheep;Man-made Climate Change/Natural Climate Cycles_d_score;Man-made Climate Change/Natural Climate Cycles_preferred;Man-made Climate Change/Natural Climate Cycles_magnitude;Man-made Climate Change/Natural Climate Cycles_attributeFocalCategoryFit;Man-made Climate Change/Natural Climate Cycles_attributeNonfocalCategoryFit;Left Media/Conservative Media_comment;Left Media/Conservative Media_nonfocal_wishlist;Left Media/Conservative Media_dScoreFit;Left Media/Conservative Media_self_assessment;Left Media/Conservative Media_focal_wishlist;Left Media/Conservative Media_focalBlacksheep;Left Media/Conservative Media_nonfocal_blacksheep;Left Media/Conservative Media_d_score;Left Media/Conservative Media_preferred;Left Media/Conservative Media_magnitude;Left Media/Conservative Media_attributeFocalCategoryFit;Left Media/Conservative Media_attributeNonfocalCategoryFit;gender;include_warmup;Flowers/Insects_comment;Flowers/Insects_nonfocal_wishlist;Flowers/Insects_dScoreFit;Flowers/Insects_self_assessment;Flowers/Insects_focal_wishlist;Flowers/Insects_focalBlacksheep;Flowers/Insects_nonfocal_blacksheep;Flowers/Insects_d_score;Flowers/Insects_preferred;Flowers/Insects_magnitude;Flowers/Insects_attributeFocalCategoryFit;Flowers/Insects_attributeNonfocalCategoryFit;Qualitative/Quantitative Research_comment;Qualitative/Quantitative Research_nonfocal_wishlist;Qualitative/Quantitative Research_dScoreFit;Qualitative/Quantitative Research_self_assessment;Qualitative/Quantitative Research_focal_wishlist;Qualitative/Quantitative Research_focalBlacksheep;Qualitative/Quantitative Research_nonfocal_blacksheep;Qualitative/Quantitative Research_attributeFocalCategoryFit;Qualitative/Quantitative Research_attributeNonfocalCategoryFit;Progressive/Conservative_magnitude;Progressive/Conservative_d_score;Progressive/Conservative_preferred;Feminism/Anti-feminism_magnitude;Feminism/Anti-feminism_d_score;Feminism/Anti-feminism_preferred;gender_self_described
101.116.122.102;;;;2.5;4;801587801716693;;;True;a slight;0.1836759433929396;Qualitative;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155.143.122.142;;;;2.5;2;451587799402630;;;True;;;;;;4;4;;;;0.040595112271894065;Man-made Climate Change;little to no;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155.143.122.142;;;;2.5;3;921587800921171;;;True;;;;;;;;;;;;;;;;;;4;4;;;;0.4240040294741162;Left Media;a moderate;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85.133.79.221;28;Policy;SW1A 2HU;2.4;0;401583158636076;UK;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;male;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217.138.141.74;;;;2.4;;undefined_1582819829226;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;True;;;4;4;;;;-0.2610246082619212;Insects;a slight;4;4;;;;;;;;;;;;;;;;
155.143.122.142;;;;2.5;4;921587800888944;;;True;a slight;-0.17854458762480224;Quantitative Research;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;4;4;;;;;;;
155.143.122.142;;;;2.5;3;261587799372716;;;True;;;;;;;;;;;;;;;;;;4;4;;;;-0.6046340415510673;Conservative Media;a moderate;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155.143.122.142;;;;2.5;1;441587799883487;;tilman2;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;little to no;-0.0915863333281263;Conservative;;;;
217.138.141.74;;;;2.4;0;251582820024116;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;female;;;;;;;;;;;;;;;;;;;;;;;;;;little to no;-0.010032306597432155;Anti-feminism;
155.143.122.142;;;;2.5;3;431587799734639;;tilman;True;;;;;;;;;;;;;;;;;;4;4;;;;0.15476737144858793;Left Media;a slight;4;4;other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sth
